"","Year","Month","DayofMonth","DayOfWeek","DepTime","CRSDepTime","ArrTime","CRSArrTime","UniqueCarrier","FlightNum","TailNum","ActualElapsedTime","CRSElapsedTime","AirTime","ArrDelay","DepDelay","Origin","Dest","Distance","TaxiIn","TaxiOut","Cancelled","CancellationCode","Diverted","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay"
"1",2008,12,1,1,NA,1000,NA,1100,"WN",16,"N366SW",NA,60,NA,NA,NA,"HOU","DAL",239,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"2",2008,12,1,1,NA,1000,NA,1110,"US",2122,"",NA,70,NA,NA,NA,"LGA","BOS",185,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"3",2008,12,1,1,NA,1000,NA,1125,"MQ",3155,"N807MQ",NA,85,NA,NA,NA,"SAN","SJC",417,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"4",2008,12,1,1,NA,1000,NA,1227,"EV",4980,"N978EV",NA,87,NA,NA,NA,"MEM","CVG",403,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"5",2008,12,1,1,NA,1000,NA,1227,"NW",1406,"N752NW",NA,87,NA,NA,NA,"ORD","DTW",235,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"6",2008,12,1,1,NA,1005,NA,1055,"MQ",4041,"N836MQ",NA,50,NA,NA,NA,"ORD","DBQ",147,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"7",2008,12,1,1,NA,1015,NA,1145,"MQ",3169,"N854MQ",NA,90,NA,NA,NA,"SFO","SNA",372,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"8",2008,12,1,1,NA,1020,NA,1255,"MQ",4256,"N610MQ",NA,95,NA,NA,NA,"ORD","CHA",501,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"9",2008,12,1,1,NA,1029,NA,1112,"YV",7065,"N650ML",NA,43,NA,NA,NA,"ORD","MKE",67,NA,NA,1,"C",0,NA,NA,NA,NA,NA
"10",2008,12,1,1,NA,1030,NA,1201,"US",1819,"",NA,91,NA,NA,NA,"BOS","PHL",280,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"11",2008,12,1,1,NA,1031,NA,1121,"OO",6382,"N710BR",NA,110,NA,NA,NA,"BOI","SFO",522,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"12",2008,12,1,1,NA,1035,NA,1235,"MQ",4232,"N624MQ",NA,60,NA,NA,NA,"ORD","IND",177,NA,NA,1,"C",0,NA,NA,NA,NA,NA
