Item ID,Item Name,Item Price
0,Item_0,6.02
1,Item_1,8.94
2,Item_2,2.7
3,Item_3,3.51
4,Item_4,7.3
5,Item_5,8.62
6,Item_6,8.71
7,Item_7,4.64
8,Item_8,8.99
9,Item_9,8.66
10,Item_10,9.42
11,Item_11,8.07
12,Item_12,7.02
13,Item_13,6.23
14,Item_14,4.35
15,Item_15,9.46
16,Item_16,9.76
17,Item_17,3.56
18,Item_18,3.75
19,Item_19,5.37
20,Item_20,5.04
21,Item_21,9.95
22,Item_22,2.58
23,Item_23,1.16
24,Item_24,5.45
25,Item_25,2.61
26,Item_26,4.3
27,Item_27,7.7
28,Item_28,7.49
29,Item_29,3.77
30,Item_30,5.88
31,Item_31,5.58
32,Item_32,6.73
33,Item_33,3.25
34,Item_34,6.31
35,Item_35,9.81
36,Item_36,5.38
37,Item_37,9.15
38,Item_38,4.91
39,Item_39,4.15
40,Item_40,6.81
41,Item_41,7.02
42,Item_42,8.78
43,Item_43,3.07
44,Item_44,5.49
45,Item_45,6.15
46,Item_46,7.92
47,Item_47,1.39
48,Item_48,9.95
49,Item_49,5.23
