Purchase ID,SN,Item ID,Age,Gender,Item Name,Item Price
0,Player45,4,41,Male,Item_4,7.3
1,Player5,28,21,Female,Item_28,7.49
2,Player98,36,31,Male,Item_36,5.38
3,Player36,37,43,Male,Item_37,9.15
4,Player23,18,34,Male,Item_18,3.75
5,Player92,7,16,Female,Item_7,4.64
6,Player45,47,23,Female,Item_47,1.39
7,Player52,44,28,Female,Item_44,5.49
8,Player94,0,32,Male,Item_0,6.02
9,Player98,21,31,Female,Item_21,9.95
10,Player59,16,23,Male,Item_16,9.76
11,Player96,6,19,Male,Item_6,8.71
12,Player62,24,26,Female,Item_24,5.45
13,Player84,44,31,Male,Item_44,5.49
14,Player31,3,10,Male,Item_3,3.51
15,Player86,35,16,Male,Item_35,9.81
16,Player32,5,9,Male,Item_5,8.62
17,Player66,30,24,Male,Item_30,5.88
18,Player17,18,42,Male,Item_18,3.75
19,Player24,43,28,Male,Item_43,3.07
20,Player94,38,40,Female,Item_38,4.91
21,Player53,26,14,Female,Item_26,4.3
22,Player57,9,25,Male,Item_9,8.66
23,Player66,25,43,Male,Item_25,2.61
24,Player45,18,12,Male,Item_18,3.75
25,Player23,38,32,Male,Item_38,4.91
26,Player31,2,40,Male,Item_2,2.7
27,Player46,44,12,Female,Item_44,5.49
28,Player85,12,43,Male,Item_12,7.02
29,Player22,49,39,Male,Item_49,5.23
30,Player65,27,28,Male,Item_27,7.7
31,Player26,19,27,Male,Item_19,5.37
32,Player1,27,12,Other/Non-Disclosed,Item_27,7.7
33,Player89,7,12,Female,Item_7,4.64
34,Player16,40,10,Male,Item_40,6.81
35,Player32,38,36,Female,Item_38,4.91
36,Player8,0,17,Male,Item_0,6.02
37,Player42,2,36,Female,Item_2,2.7
38,Player47,12,37,Female,Item_12,7.02
39,Player38,27,30,Male,Item_27,7.7
40,Player92,48,15,Male,Item_48,9.95
41,Player41,24,9,Male,Item_24,5.45
42,Player25,32,37,Male,Item_32,6.73
43,Player98,37,43,Female,Item_37,9.15
44,Player49,5,42,Male,Item_5,8.62
45,Player24,43,30,Male,Item_43,3.07
46,Player23,44,37,Female,Item_44,5.49
47,Player12,31,12,Other/Non-Disclosed,Item_31,5.58
48,Player59,44,8,Male,Item_44,5.49
49,Player6,46,26,Male,Item_46,7.92
50,Player56,20,34,Male,Item_20,5.04
51,Player35,15,17,Male,Item_15,9.46
52,Player44,20,10,Other/Non-Disclosed,Item_20,5.04
53,Player19,10,21,Male,Item_10,9.42
54,Player64,36,12,Male,Item_36,5.38
55,Player7,35,36,Male,Item_35,9.81
56,Player15,34,44,Male,Item_34,6.31
57,Player13,18,8,Female,Item_18,3.75
58,Player75,19,21,Female,Item_19,5.37
59,Player86,17,17,Male,Item_17,3.56
60,Player14,46,14,Male,Item_46,7.92
61,Player91,40,32,Male,Item_40,6.81
62,Player97,48,11,Other/Non-Disclosed,Item_48,9.95
63,Player65,13,12,Female,Item_13,6.23
64,Player31,14,32,Male,Item_14,4.35
65,Player86,30,10,Female,Item_30,5.88
66,Player62,0,25,Female,Item_0,6.02
67,Player85,2,26,Male,Item_2,2.7
68,Player50,15,39,Other/Non-Disclosed,Item_15,9.46
69,Player24,22,26,Male,Item_22,2.58
70,Player57,10,18,Male,Item_10,9.42
71,Player62,11,7,Male,Item_11,8.07
72,Player61,9,32,Male,Item_9,8.66
73,Player21,31,20,Male,Item_31,5.58
74,Player57,15,44,Female,Item_15,9.46
75,Player57,7,43,Male,Item_7,4.64
76,Player85,37,17,Female,Item_37,9.15
77,Player48,11,42,Male,Item_11,8.07
78,Player51,23,19,Male,Item_23,1.16
79,Player41,27,9,Male,Item_27,7.7
80,Player69,7,39,Male,Item_7,4.64
81,Player14,27,12,Female,Item_27,7.7
82,Player53,35,16,Male,Item_35,9.81
83,Player59,25,11,Male,Item_25,2.61
84,Player96,7,29,Male,Item_7,4.64
85,Player7,49,16,Female,Item_49,5.23
86,Player52,27,8,Other/Non-Disclosed,Item_27,7.7
