Order ID,Status,Fulfilment,Sales Channel,ship-service-level,Qty,Amount,ship-city,ship-state,ship-postal-code,B2B,Date,Month,Year,Month-Year,Week,WeekTotal,Surge Status,Category
405-6344744-8777959,Shipped,Amazon,Amazon.in,Expedited,1,788,BENGALURU,KARNATAKA,560094,FALSE,30 April 2022,April,2022,Apr 2022,18,10352,Surge,Set
171-7374731-4292323,Shipped,Amazon,Amazon.in,Expedited,1,788,BENGALURU,KARNATAKA,560100,FALSE,30 April 2022,April,2022,Apr 2022,18,10352,Surge,Set
406-1773396-9113929,Shipped,Amazon,Amazon.in,Expedited,1,788,BENGALURU,KARNATAKA,560068,FALSE,30 April 2022,April,2022,Apr 2022,18,10352,Surge,Set
405-5685412-1543569,Shipped,Amazon,Amazon.in,Expedited,1,788,BENGALURU,KARNATAKA,560079,FALSE,29 April 2022,April,2022,Apr 2022,18,10352,Surge,Set
405-6535051-0840328,Shipped,Amazon,Amazon.in,Expedited,1,788,BENGALURU,KARNATAKA,560067,FALSE,29 April 2022,April,2022,Apr 2022,18,10352,Surge,Set
402-1425273-5885106,Shipped,Amazon,Amazon.in,Expedited,1,788,BENGALURU,KARNATAKA,560035,FALSE,29 April 2022,April,2022,Apr 2022,18,10352,Surge,Set
403-9270227-0071534,Shipped,Amazon,Amazon.in,Expedited,1,788,BENGALURU,KARNATAKA,560068,FALSE,28 April 2022,April,2022,Apr 2022,18,10352,Surge,Set
407-7268457-2258745,Shipped,Amazon,Amazon.in,Expedited,1,788,BENGALURU,KARNATAKA,560076,FALSE,28 April 2022,April,2022,Apr 2022,18,10352,Surge,Set
408-2178332-3281104,Shipped,Amazon,Amazon.in,Expedited,1,788,BENGALURU,KARNATAKA,560064,FALSE,28 April 2022,April,2022,Apr 2022,18,10352,Surge,Set
407-6150922-7609125,Shipped,Amazon,Amazon.in,Expedited,1,788,BENGALURU,KARNATAKA,560048,FALSE,28 April 2022,April,2022,Apr 2022,18,10352,Surge,Set
407-8090136-1054750,Shipped,Amazon,Amazon.in,Expedited,1,788,BENGALURU,KARNATAKA,560023,FALSE,28 April 2022,April,2022,Apr 2022,18,10352,Surge,Set
408-7627128-0289913,Shipped,Amazon,Amazon.in,Expedited,1,788,BENGALURU,KARNATAKA,560072,FALSE,28 April 2022,April,2022,Apr 2022,18,10352,Surge,Set
405-5378303-4382744,Shipped,Amazon,Amazon.in,Expedited,1,788,BENGALURU,KARNATAKA,560008,FALSE,28 April 2022,April,2022,Apr 2022,18,10352,Surge,Set
171-4558609-8111516,Shipped,Amazon,Amazon.in,Expedited,1,788,BENGALURU,KARNATAKA,560087,FALSE,27 April 2022,April,2022,Apr 2022,18,10352,Surge,Set
402-5558864-3656354,Shipped,Amazon,Amazon.in,Expedited,1,788,BENGALURU,KARNATAKA,560035,FALSE,27 April 2022,April,2022,Apr 2022,18,10352,Surge,Set
403-2582734-5364360,Shipped,Amazon,Amazon.in,Expedited,1,788,BENGALURU,KARNATAKA,560076,FALSE,27 April 2022,April,2022,Apr 2022,18,10352,Surge,Set
403-7881698-1234719,Shipped,Amazon,Amazon.in,Expedited,1,788,BENGALURU,KARNATAKA,560078,FALSE,26 April 2022,April,2022,Apr 2022,18,10352,Surge,Set
171-5420486-1758711,Shipped,Amazon,Amazon.in,Expedited,1,788,BENGALURU,KARNATAKA,560075,FALSE,26 April 2022,April,2022,Apr 2022,18,10352,Surge,Set
407-1720414-7060308,Shipped,Amazon,Amazon.in,Expedited,1,788,BENGALURU,KARNATAKA,560049,FALSE,26 April 2022,April,2022,Apr 2022,18,10352,Surge,Set
408-9255270-0457146,Shipped,Amazon,Amazon.in,Expedited,1,788,BENGALURU,KARNATAKA,560076,FALSE,26 April 2022,April,2022,Apr 2022,18,10352,Surge,Set
408-8811130-5932300,Shipped,Amazon,Amazon.in,Expedited,1,788,BENGALURU,KARNATAKA,560072,FALSE,25 April 2022,April,2022,Apr 2022,18,10352,Surge,Set
405-1594340-1072364,Shipped,Amazon,Amazon.in,Expedited,1,788,BENGALURU,KARNATAKA,560066,FALSE,25 April 2022,April,2022,Apr 2022,18,10352,Surge,Set
406-2199277-2513169,Shipped,Amazon,Amazon.in,Expedited,1,788,BENGALURU,KARNATAKA,560017,FALSE,25 April 2022,April,2022,Apr 2022,18,10352,Surge,Set
403-7427306-3383503,Shipped,Amazon,Amazon.in,Expedited,1,788,BENGALURU,KARNATAKA,560076,FALSE,25 April 2022,April,2022,Apr 2022,18,10352,Surge,Set
404-6198637-9290732,Shipped,Amazon,Amazon.in,Expedited,1,788,BENGALURU,KARNATAKA,560073,FALSE,24 April 2022,April,2022,Apr 2022,18,10352,Surge,Set
404-5103356-7398729,Shipped,Amazon,Amazon.in,Expedited,1,788,BENGALURU,KARNATAKA,560064,FALSE,24 April 2022,April,2022,Apr 2022,18,10352,Surge,Set
407-7008612-7136334,Shipped,Amazon,Amazon.in,Expedited,1,788,BENGALURU,KARNATAKA,560064,FALSE,24 April 2022,April,2022,Apr 2022,18,10352,Surge,Set
