iter	Passed	Remaining
0	1	371
1	3	364
2	5	345
3	7	347
4	8	343
5	10	341
6	12	338
7	14	337
8	15	335
9	17	333
10	19	330
11	20	328
12	22	327
13	24	325
14	26	324
15	27	320
16	29	318
17	31	318
18	33	317
19	35	315
20	36	314
21	38	312
22	40	310
23	42	309
24	44	308
25	45	305
26	47	303
27	49	302
28	50	300
29	52	298
30	54	296
31	56	294
32	57	293
33	59	291
34	61	289
35	63	287
36	64	285
37	67	285
38	68	283
39	70	281
40	72	280
41	73	278
42	75	276
43	77	274
44	79	272
45	80	271
46	82	269
47	84	267
48	85	264
49	87	263
50	89	261
51	91	259
52	92	257
53	94	255
54	96	254
55	98	252
56	99	250
57	101	248
58	102	246
59	104	244
60	106	242
61	108	240
62	109	238
63	111	235
64	112	233
65	113	231
66	115	229
67	116	226
68	118	225
69	120	223
70	122	221
71	123	220
72	125	218
73	127	216
74	128	214
75	130	213
76	132	211
77	134	210
78	136	208
79	137	206
80	139	205
81	141	203
82	143	201
83	144	200
84	146	198
85	148	196
86	149	194
87	151	193
88	153	191
89	155	189
90	156	187
91	158	186
92	160	184
93	162	182
94	163	181
95	165	179
96	167	177
97	169	176
98	170	174
99	172	172
100	174	170
101	176	169
102	177	167
103	179	165
104	181	163
105	182	162
106	184	160
107	186	158
108	188	157
109	189	155
110	191	153
111	193	152
112	195	150
113	196	148
114	198	146
115	200	145
116	202	143
117	203	141
118	205	139
119	206	137
120	208	135
121	209	134
122	211	132
123	213	130
124	215	129
125	216	127
126	218	125
127	220	124
128	222	122
129	224	120
130	225	119
131	227	117
132	229	115
133	231	113
134	233	112
135	234	110
136	236	108
137	238	107
138	240	105
139	241	103
140	243	101
141	245	100
142	247	98
143	248	96
144	250	94
145	252	93
146	253	91
147	255	89
148	257	88
149	259	86
150	260	84
151	262	82
152	264	81
153	266	79
154	267	77
155	269	76
156	271	74
157	273	72
158	274	70
159	276	69
160	278	67
161	279	65
162	281	63
163	283	62
164	285	60
165	287	58
166	288	57
167	290	55
168	292	53
169	293	51
170	295	50
171	297	48
172	299	46
173	301	44
174	302	43
175	304	41
176	305	39
177	307	37
178	308	36
179	310	34
180	311	32
181	313	30
182	315	29
183	316	27
184	318	25
185	320	24
186	321	22
187	323	20
188	325	18
189	327	17
190	329	15
191	330	13
192	332	12
193	334	10
194	336	8
195	337	6
196	339	5
197	341	3
198	343	1
199	344	0
