Province/State,Country/Region,Last Update,Confirmed,Suspected,Recovered,Death
Hubei,Mainland China,1/27/2020 20:30,2714.0,,47.0,100.0
Zhejiang,Mainland China,1/27/2020 20:30,173.0,,1.0,
Henan,Mainland China,1/27/2020 20:30,168.0,,,1.0
Guangdong,Mainland China,1/27/2020 20:30,151.0,,4.0,
Chongqing,Mainland China,1/27/2020 20:30,132.0,,,
Anhui,Mainland China,1/27/2020 20:30,106.0,,,
Hunan,Mainland China,1/27/2020 20:30,100.0,,,
Sichuan,Mainland China,1/27/2020 20:30,90.0,,,
Shandong,Mainland China,1/27/2020 20:30,87.0,,,1.0
Beijing,Mainland China,1/27/2020 20:30,80.0,,2.0,1.0
Jiangxi,Mainland China,1/27/2020 20:30,72.0,,2.0,
Jiangsu,Mainland China,1/27/2020 20:30,70.0,,1.0,
Shanghai,Mainland China,1/27/2020 20:30,66.0,,3.0,1.0
Fujian,Mainland China,1/27/2020 20:30,59.0,,,
Guangxi,Mainland China,1/27/2020 20:30,51.0,,,
Shaanxi,Mainland China,1/27/2020 20:30,35.0,,,
Hainan,Mainland China,1/27/2020 20:30,33.0,,,1.0
Hebei,Mainland China,1/27/2020 20:30,33.0,,,1.0
Heilongjiang,Mainland China,1/27/2020 20:30,30.0,,,1.0
Liaoning,Mainland China,1/27/2020 20:30,27.0,,,
Yunnan,Mainland China,1/27/2020 20:30,26.0,,,
Tianjin,Mainland China,1/27/2020 20:30,23.0,,,
Shanxi,Mainland China,1/27/2020 20:30,20.0,,,
Gansu,Mainland China,1/27/2020 20:30,19.0,,,
Inner Mongolia,Mainland China,1/27/2020 20:30,11.0,,,
Guizhou,Mainland China,1/27/2020 20:30,9.0,,,
Hong Kong,Hong Kong,1/27/2020 20:30,8.0,,,
Ningxia,Mainland China,1/27/2020 20:30,7.0,,,
Jilin,Mainland China,1/27/2020 20:30,6.0,,,
Macau,Macau,1/27/2020 20:30,6.0,,,
Qinghai,Mainland China,1/27/2020 20:30,6.0,,,
Taiwan,Taiwan,1/27/2020 20:30,5.0,,,
Xinjiang,Mainland China,1/27/2020 20:30,5.0,,,
Washington,United States,1/27/2020 20:30,1.0,,,
Illinois,United States,1/27/2020 20:30,1.0,,,
California,United States,1/27/2020 20:30,2.0,,,
Arizona,United States,1/27/2020 20:30,1.0,,,
,Japan,1/27/2020 20:30,4.0,,1.0,
,Thailand,1/27/2020 20:30,8.0,,2.0,
,South Korea,1/27/2020 20:30,4.0,,,
,Singapore,1/27/2020 20:30,5.0,,,
,Vietnam,1/27/2020 20:30,2.0,,,
,France,1/27/2020 20:30,3.0,,,
,Nepal,1/27/2020 20:30,1.0,,,
,Malaysia,1/27/2020 20:30,4.0,,,
Ontario,Canada,1/27/2020 20:30,1.0,,,
,Cambodia,1/27/2020 20:30,1.0,,,
,Sri Lanka,1/27/2020 20:30,1.0,,,
,Ivory Coast,1/27/2020 20:30,1.0,,,
New South Wales,Australia,1/27/2020 20:30,4.0,,,
Victoria,Australia,1/27/2020 20:30,1.0,,,
Bavaria,Germany,1/27/2020 20:30,1.0,,,
Hubei,Mainland China,1/27/2020 19:00,1423.0,,45.0,76.0
Guangdong,Mainland China,1/27/2020 19:00,151.0,,4.0,
Zhejiang,Mainland China,1/27/2020 19:00,128.0,,1.0,
Henan,Mainland China,1/27/2020 19:00,128.0,,,1.0
Chongqing,Mainland China,1/27/2020 19:00,110.0,,,
Hunan,Mainland China,1/27/2020 19:00,100.0,,,
Beijing,Mainland China,1/27/2020 19:00,80.0,,2.0,1.0
Shandong,Mainland China,1/27/2020 19:00,75.0,,,
Jiangxi,Mainland China,1/27/2020 19:00,72.0,,2.0,
Anhui,Mainland China,1/27/2020 19:00,70.0,,,
Sichuan,Mainland China,1/27/2020 19:00,69.0,,,
Fujian,Mainland China,1/27/2020 19:00,59.0,,,
Shanghai,Mainland China,1/27/2020 19:00,53.0,,3.0,1.0
Jiangsu,Mainland China,1/27/2020 19:00,47.0,,1.0,
Guangxi,Mainland China,1/27/2020 19:00,46.0,,,
Shaanxi,Mainland China,1/27/2020 19:00,35.0,,,
Hainan,Mainland China,1/27/2020 19:00,33.0,,,1.0
Liaoning,Mainland China,1/27/2020 19:00,27.0,,,
Yunnan,Mainland China,1/27/2020 19:00,26.0,,,
Tianjin,Mainland China,1/27/2020 19:00,23.0,,,
Heilongjiang,Mainland China,1/27/2020 19:00,21.0,,,1.0
Hebei,Mainland China,1/27/2020 19:00,18.0,,,1.0
Gansu,Mainland China,1/27/2020 19:00,14.0,,,
Shanxi,Mainland China,1/27/2020 19:00,13.0,,,
Inner Mongolia,Mainland China,1/27/2020 19:00,11.0,,,
Hong Kong,Hong Kong,1/27/2020 19:00,8.0,,,
Guizhou,Mainland China,1/27/2020 19:00,7.0,,,
Ningxia,Mainland China,1/27/2020 19:00,7.0,,,
Jilin,Mainland China,1/27/2020 19:00,6.0,,,
Macau,Macau,1/27/2020 19:00,6.0,,,
Qinghai,Mainland China,1/27/2020 19:00,6.0,,,
Taiwan,Taiwan,1/27/2020 19:00,5.0,,,
Xinjiang,Mainland China,1/27/2020 19:00,5.0,,,
Washington,United States,1/27/2020 19:00,1.0,,,
Illinois,United States,1/27/2020 19:00,1.0,,,
California,United States,1/27/2020 19:00,2.0,,,
Arizona,United States,1/27/2020 19:00,1.0,,,
,Japan,1/27/2020 19:00,4.0,,1.0,
,Thailand,1/27/2020 19:00,8.0,,2.0,
,South Korea,1/27/2020 19:00,4.0,,,
,Singapore,1/27/2020 19:00,5.0,,,
,Vietnam,1/27/2020 19:00,2.0,,,
,France,1/27/2020 19:00,3.0,,,
,Nepal,1/27/2020 19:00,1.0,,,
,Malaysia,1/27/2020 19:00,4.0,,,
Ontario,Canada,1/27/2020 19:00,1.0,,,
,Cambodia,1/27/2020 19:00,1.0,,,
,Sri Lanka,1/27/2020 19:00,1.0,,,
,Ivory Coast,1/27/2020 19:00,1.0,,,
New South Wales,Australia,1/27/2020 19:00,4.0,,,
Victoria,Australia,1/27/2020 19:00,1.0,,,
Hubei,Mainland China,1/27/2020 9:00,1423.0,,45.0,76.0
Guangdong,Mainland China,1/27/2020 9:00,151.0,,3.0,
Zhejiang,Mainland China,1/27/2020 9:00,128.0,,1.0,
Henan,Mainland China,1/27/2020 9:00,128.0,,,
Chongqing,Mainland China,1/27/2020 9:00,110.0,,,1.0
Hunan,Mainland China,1/27/2020 9:00,100.0,,,
Shandong,Mainland China,1/27/2020 9:00,75.0,,,
Beijing,Mainland China,1/27/2020 9:00,72.0,,2.0,
Anhui,Mainland China,1/27/2020 9:00,70.0,,,
Sichuan,Mainland China,1/27/2020 9:00,69.0,,,
Fujian,Mainland China,1/27/2020 9:00,56.0,,,
Shanghai,Mainland China,1/27/2020 9:00,53.0,,3.0,1.0
Jiangxi,Mainland China,1/27/2020 9:00,48.0,,1.0,
Jiangsu,Mainland China,1/27/2020 9:00,47.0,,1.0,
Guangxi,Mainland China,1/27/2020 9:00,46.0,,,
Shaanxi,Mainland China,1/27/2020 9:00,35.0,,,
Hainan,Mainland China,1/27/2020 9:00,33.0,,,1.0
Liaoning,Mainland China,1/27/2020 9:00,27.0,,,
Yunnan,Mainland China,1/27/2020 9:00,26.0,,,
Tianjin,Mainland China,1/27/2020 9:00,22.0,,,
Heilongjiang,Mainland China,1/27/2020 9:00,21.0,,,1.0
Hebei,Mainland China,1/27/2020 9:00,18.0,,,1.0
Gansu,Mainland China,1/27/2020 9:00,14.0,,,
Shanxi,Mainland China,1/27/2020 9:00,13.0,,,
Inner Mongolia,Mainland China,1/27/2020 9:00,11.0,,,
Hong Kong,Hong Kong,1/27/2020 9:00,8.0,,,
Guizhou,Mainland China,1/27/2020 9:00,7.0,,,
Ningxia,Mainland China,1/27/2020 9:00,7.0,,,
Jilin,Mainland China,1/27/2020 9:00,6.0,,,
Macau,Macau,1/27/2020 9:00,6.0,,,
Taiwan,Taiwan,1/27/2020 9:00,5.0,,,
Xinjiang,Mainland China,1/27/2020 9:00,5.0,,,
Qinghai,Mainland China,1/27/2020 9:00,4.0,,,
Washington,United States,1/27/2020 9:00,1.0,,,
Illinois,United States,1/27/2020 9:00,1.0,,,
California,United States,1/27/2020 9:00,2.0,,,
Arizona,United States,1/27/2020 9:00,1.0,,,
,Japan,1/27/2020 9:00,4.0,,1.0,
,Thailand,1/27/2020 9:00,8.0,,2.0,
,South Korea,1/27/2020 9:00,4.0,,,
,Singapore,1/27/2020 9:00,4.0,,,
,Vietnam,1/27/2020 9:00,2.0,,,
,France,1/27/2020 9:00,3.0,,,
,Australia,1/27/2020 9:00,5.0,,,
,Nepal,1/27/2020 9:00,1.0,,,
,Malaysia,1/27/2020 9:00,4.0,,,
Ontario,Canada,1/27/2020 9:00,1.0,,,
,Cambodia,1/27/2020 9:00,1.0,,,
